service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS222-hba22pt1-Wdy-02,0,0,0,0,0,0,0,20220418,20220418
BUS222-hba22sn1-Wdy-02,0,1,1,1,1,0,0,20220419,20220422
BUS222-hbb22ns1-Wdy-02,1,1,1,1,1,0,0,20220418,20220422
BUS222-hbc22ns1-Wdy-02,1,1,1,1,1,0,0,20220418,20220422
BUS222-hbf22ns1-Wdy-02,1,1,1,1,1,0,0,20220418,20220422
BUS222-hbg22ns1-Wdy-02,1,1,1,1,1,0,0,20220418,20220422
BUS222-hbl22ns1-Wdy-02,1,1,1,1,1,0,0,20220418,20220422
BUS222-hbq22ns1-Wdy-02,1,1,1,1,1,0,0,20220418,20220422
BUS222-hbs22NS1-Wdy-02,1,1,1,1,1,0,0,20220418,20220422
BUS222-hbt22ns1-Wdy-02,1,1,1,1,1,0,0,20220418,20220422
Boat-F1-Sa-Smr-22,0,0,0,0,0,1,0,20220604,20220618
Boat-F1-Su-Smr-22,1,0,0,0,0,0,1,20220529,20220605
Boat-F1-Wdy-Fll-21,1,1,1,1,1,0,0,20220322,20220331
Boat-F1-Wdy-Smr-22,1,1,1,1,1,0,0,20220531,20220617
Boat-F1-Wdy-Spr-22,1,1,1,1,1,0,0,20220401,20220527
Boat-F4-Sa-Fll-21,0,0,0,0,0,1,0,20220326,20220326
Boat-F4-Sa-Smr-22,0,0,0,0,0,1,0,20220604,20220618
Boat-F4-Sa-Spr-22,0,0,0,0,0,1,0,20220402,20220528
Boat-F4-Su-Fll-21,0,0,0,0,0,0,1,20220327,20220327
Boat-F4-Su-Smr-22,1,0,0,0,0,0,1,20220529,20220605
Boat-F4-Su-Spr-22,0,0,0,0,0,0,1,20220403,20220522
Boat-F4-Wdy-Fll-21,1,1,1,1,1,0,0,20220322,20220331
Boat-F4-Wdy-Smr-22,1,1,1,1,1,0,0,20220531,20220617
Boat-F4-Wdy-Spr-22,1,1,1,1,1,0,0,20220401,20220527
FLL 21-N-Sa-24,0,0,0,0,0,1,0,20220326,20220618
FLL 21-N-Sa-24-S9d378dcf-MRNwtBvRct,0,0,0,0,0,1,0,20220326,20220326
FLL 21-N-Sa-5-S6d,0,0,0,0,0,1,0,20220326,20220618
FLL 21-N-Sa-5-S72,0,0,0,0,0,1,0,20220416,20220618
FLL 21-N-Sa-5-S7d8482ee-LwlGLX,0,0,0,0,0,1,0,20220326,20220409
FLL 21-N-Sa-5-S9d378dcf-MRRct,0,0,0,0,0,1,0,20220402,20220618
FLL 21-N-Su-24,0,0,0,0,0,0,1,20220327,20220612
FLL 21-N-Su-24-S9d378dcf-MRNwtBvRct,0,0,0,0,0,0,1,20220327,20220327
FLL 21-N-Su-5,0,0,0,0,0,0,0,20220530,20220530
FLL 21-N-Su-5-S6d,0,0,0,0,0,0,1,20220327,20220612
FLL 21-N-Su-5-S72,0,0,0,0,0,0,1,20220417,20220612
FLL 21-N-Su-5-S7d8482ee-LwlGLX,0,0,0,0,0,0,1,20220327,20220410
FLL 21-N-Su-5-S9d378dcf-MRRct,0,0,0,0,0,0,1,20220403,20220612
FLL 21-N-Wdy-24,1,1,1,1,1,0,0,20220322,20220401
FLL 21-N-Wdy-5,1,1,1,1,1,0,0,20220322,20220617
FLL 21-N-Wdy-5-S6d,1,1,1,1,1,0,0,20220322,20220617
FLL 21-N-Wdy-5-S72,1,1,1,1,1,0,0,20220322,20220617
FLL 21-N-Wdy-5-S9d378dcf-MRRct,1,1,1,1,1,0,0,20220404,20220617
FLL 21-S-Sa-1,0,0,0,0,0,1,0,20220326,20220618
FLL 21-S-Sa-1-S0f,0,0,0,0,0,1,0,20220326,20220618
FLL 21-S-Sa-1-S8f,0,0,0,0,0,1,0,20220326,20220618
FLL 21-S-Sa-1-Sb4,0,0,0,0,0,1,0,20220326,20220618
FLL 21-S-Sa-1-Sb6,0,0,0,0,0,1,0,20220326,20220618
FLL 21-S-Sa-1-Sc0,0,0,0,0,0,1,0,20220326,20220618
FLL 21-S-Su-1,0,0,0,0,0,0,1,20220327,20220612
FLL 21-S-Su-1-S0f,0,0,0,0,0,0,1,20220327,20220612
FLL 21-S-Su-1-S8f,0,0,0,0,0,0,1,20220327,20220612
FLL 21-S-Su-1-Sb4,0,0,0,0,0,0,1,20220327,20220612
FLL 21-S-Su-1-Sb6,0,0,0,0,0,0,1,20220327,20220612
FLL 21-S-Su-1-Sc0,0,0,0,0,0,0,1,20220327,20220612
FLL 21-S-Wdy-1,1,1,1,1,1,0,0,20220322,20220617
FLL 21-S-Wdy-1-S0f,1,1,1,1,1,0,0,20220322,20220617
FLL 21-S-Wdy-1-Sb4,1,1,1,1,1,0,0,20220322,20220617
FLL 21-S-Wdy-BIKEADJ1-S8f,1,1,1,1,1,0,0,20220322,20220617
FLL 21-S-Wdy-BIKEADJ1-Sb6,1,1,1,1,1,0,0,20220322,20220617
FLL 21-S-Wdy-BIKEADJ1-Sc0,1,1,1,1,1,0,0,20220322,20220617
LRV222-hlb22011-Wdy-01,1,1,1,1,1,0,0,20220404,20220617
LRV222-hlb22011-Wdy-01-GvNrhShl,1,1,0,0,0,0,0,20220328,20220329
LRV222-hlb22011-Wdy-01-GvtCtrNrhSt,0,0,1,1,1,0,0,20220330,20220401
LRV222-hlb22016-Sa-01,0,0,0,0,0,1,0,20220402,20220618
LRV222-hlb22016-Sa-01-57d64499,0,0,0,0,0,1,0,20220326,20220326
LRV222-hlb22017-Su-01,0,0,0,0,0,0,1,20220403,20220612
LRV222-hlb22017-Su-01-57d64499,0,0,0,0,0,0,1,20220327,20220327
LRV222-hlm22011-Wdy-01,1,1,1,1,1,0,0,20220322,20220617
MemorialDay,0,0,0,0,0,0,0,20220530,20220530
PRIV222-hpa22011-Wdy-01,1,1,1,1,1,0,0,20220322,20220617
PRIV222-hpj22011-Wdy-01,1,1,1,1,1,0,0,20220322,20220617
PRIV222-hpj22017-Su-01,0,0,0,0,0,0,1,20220327,20220612
PRIV222-hpp22ns1-Wdy-01,1,1,1,1,1,0,0,20220418,20220422
RTL222-hmb22011-Wdy-01,1,1,1,1,1,0,0,20220322,20220617
RTL222-hmb22011-Wdy-01-ArtBwn,1,1,1,1,1,0,0,20220404,20220414
RTL222-hmb22016-Sa-01,0,0,0,0,0,1,0,20220416,20220618
RTL222-hmb22016-Sa-01-ArtBwn,0,0,0,0,0,1,0,20220402,20220409
RTL222-hmb22017-Su-01,0,0,0,0,0,0,1,20220417,20220612
RTL222-hmb22017-Su-01-ArtBwn,0,0,0,0,0,0,1,20220403,20220410
RTL222-hmo22011-Wdy-01,1,1,1,1,1,0,0,20220322,20220617
RTL222-hmo22011-Wdy-01-1-GvNrhShl,0,1,0,0,0,0,0,20220329,20220329
RTL222-hmo22011-Wdy-01-GvNrhShl,1,0,0,0,0,0,0,20220328,20220328
RTL222-hmo22016-Sa-01,0,0,0,0,0,1,0,20220402,20220618
RTL222-hmo22016-Sa-01-BckBNrhSt,0,0,0,0,0,1,0,20220326,20220326
RTL222-hmo22017-Su-01,0,0,0,0,0,0,1,20220403,20220612
RTL222-hmo22017-Su-01-BckBNrhSt,0,0,0,0,0,0,1,20220327,20220327
RTL222-hms22011-Wdy-01,1,1,1,1,1,0,0,20220322,20220617
RTL222-hms22016-Sa-01,0,0,0,0,0,1,0,20220416,20220618
RTL222-hms22016-Sa-01-AlfHrd,0,0,0,0,0,1,0,20220402,20220409
RTL222-hms22017-Su-01,0,0,0,0,0,0,1,20220417,20220612
RTL222-hms22017-Su-01-AlfHrd,0,0,0,0,0,0,1,20220403,20220410
SpringSaturday,0,0,0,0,0,1,0,20220326,20220618
SpringSunday,0,0,0,0,0,0,1,20220327,20220612
SpringWeekday,1,1,1,1,1,0,0,20220322,20220617
