service_id,date,exception_type,holiday_name
LRV222-hlb22011-Wdy-01,20220322,1,
LRV222-hlb22011-Wdy-01,20220323,1,
LRV222-hlb22011-Wdy-01,20220324,1,
LRV222-hlb22011-Wdy-01,20220325,1,
RTL222-hmb22016-Sa-01,20220326,1,
RTL222-hms22016-Sa-01,20220326,1,
RTL222-hmb22017-Su-01,20220327,1,
RTL222-hms22017-Su-01,20220327,1,
RTL222-hmo22011-Wdy-01,20220328,2,
RTL222-hmo22011-Wdy-01,20220329,2,
RTL222-hmb22011-Wdy-01,20220404,2,
RTL222-hmb22011-Wdy-01,20220405,2,
RTL222-hmb22011-Wdy-01,20220406,2,
RTL222-hmb22011-Wdy-01,20220407,2,
RTL222-hmb22011-Wdy-01,20220408,2,
RTL222-hmb22011-Wdy-01,20220411,2,
RTL222-hmb22011-Wdy-01,20220412,2,
RTL222-hmb22011-Wdy-01,20220413,2,
RTL222-hmb22011-Wdy-01,20220414,2,
BUS222-hba22pt1-Wdy-02,20220418,1,Patriots' Day
SpringWeekday,20220418,2,Patriots' Day
SpringWeekday,20220419,2,
SpringWeekday,20220420,2,
SpringWeekday,20220421,2,
SpringWeekday,20220422,2,
RTL222-hms22016-Sa-01,20220430,2,
RTL222-hms22016-Sa-01-AlfHrd,20220430,1,
RTL222-hms22017-Su-01,20220501,2,
RTL222-hms22017-Su-01-AlfHrd,20220501,1,
FLL 21-N-Su-5,20220530,1,Memorial Day
FLL 21-N-Su-5-S6d,20220530,1,Memorial Day
FLL 21-N-Su-5-S72,20220530,1,Memorial Day
FLL 21-N-Su-5-S9d378dcf-MRRct,20220530,1,Memorial Day
FLL 21-N-Wdy-5,20220530,2,Memorial Day
FLL 21-N-Wdy-5-S6d,20220530,2,Memorial Day
FLL 21-N-Wdy-5-S72,20220530,2,Memorial Day
FLL 21-N-Wdy-5-S9d378dcf-MRRct,20220530,2,Memorial Day
FLL 21-S-Su-1,20220530,1,Memorial Day
FLL 21-S-Su-1-S0f,20220530,1,Memorial Day
FLL 21-S-Su-1-S8f,20220530,1,Memorial Day
FLL 21-S-Su-1-Sb4,20220530,1,Memorial Day
FLL 21-S-Su-1-Sb6,20220530,1,Memorial Day
FLL 21-S-Su-1-Sc0,20220530,1,Memorial Day
FLL 21-S-Wdy-1,20220530,2,Memorial Day
FLL 21-S-Wdy-1-S0f,20220530,2,Memorial Day
FLL 21-S-Wdy-1-Sb4,20220530,2,Memorial Day
FLL 21-S-Wdy-BIKEADJ1-S8f,20220530,2,Memorial Day
FLL 21-S-Wdy-BIKEADJ1-Sb6,20220530,2,Memorial Day
FLL 21-S-Wdy-BIKEADJ1-Sc0,20220530,2,Memorial Day
LRV222-hlb22011-Wdy-01,20220530,2,Memorial Day
LRV222-hlm22011-Wdy-01,20220530,2,Memorial Day
MemorialDay,20220530,1,Memorial Day
PRIV222-hpa22011-Wdy-01,20220530,2,Memorial Day
PRIV222-hpj22011-Wdy-01,20220530,2,Memorial Day
PRIV222-hpj22017-Su-01,20220530,1,Memorial Day
RTL222-hmb22011-Wdy-01,20220530,2,Memorial Day
RTL222-hmo22011-Wdy-01,20220530,2,Memorial Day
RTL222-hms22011-Wdy-01,20220530,2,Memorial Day
SpringWeekday,20220530,2,Memorial Day
Boat-F1-Su-Smr-22,20220612,1,
Boat-F4-Su-Smr-22,20220612,1,
