service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS42025-hbc45fr1-Weekday-02,0,0,0,0,1,0,0,,
BUS42025-hbc45wk1-Weekday-02,1,1,1,1,0,0,0,,
BUS42025-hbg45fr1-Weekday-02,0,0,0,0,1,0,0,,
BUS42025-hbg45wk1-Weekday-02,1,1,1,1,0,0,0,,
BUS42025-hbs45fr1-Weekday-02,0,0,0,0,1,0,0,,
BUS42025-hbs45sp1-Weekday-02,1,1,1,0,0,0,0,,
BUS42025-hbs45sp6-Saturday-02,0,0,0,0,0,1,0,,
BUS42025-hbs45sp7-Sunday-02,0,0,0,0,0,0,1,,
BUS42025-hbs45sw1-Weekday-02,1,1,1,1,0,0,0,,
BUS42025-hbs45sw6-Saturday-02,0,0,0,0,0,1,0,,
BUS42025-hbs45sw7-Sunday-02,0,0,0,0,0,0,1,,
BUS42025-shu45al6-Saturday-01,0,0,0,0,0,1,0,,
BUS42025-shu45al7-Sunday-01,0,0,0,0,0,0,1,,
Blue-21-Friday-c7e66,0,0,0,0,1,0,0,,
Blue-21-Saturday-c7e66,0,0,0,0,0,1,0,,
Blue-21-Sunday-c7e66,0,0,0,0,0,0,1,,
Blue-22-Friday-c7e66,0,0,0,0,1,0,0,,
Blue-22-Saturday-c7e66,0,0,0,0,0,1,0,,
Blue-22-Sunday-c7e66,0,0,0,0,0,0,1,,
Boat-EastBoston-Sa-BL-Diversion-Fall-25,0,0,0,0,0,1,0,,
Boat-EastBoston-Sa-LateNight-Fall-25,0,0,0,0,0,1,0,,
Boat-EastBoston-Saturday-Fall-25,0,0,0,0,0,1,0,,
Boat-EastBoston-Su-BL-Diversion-Fall-25,0,0,0,0,0,0,1,,
Boat-EastBoston-Sunday-Summer-25,0,0,0,0,0,0,1,,
Boat-EastBoston-Weekday-Fall-25,1,1,1,1,1,0,0,,
Boat-EastBoston-Weekday-Summer-25,1,1,1,1,0,0,0,,
Boat-F1-Weekday-Fall-25,1,1,1,1,1,0,0,,
Boat-F1-WeekdayModified-Summer-25,1,1,1,1,0,0,0,,
Boat-F4-Saturday-Fall-25,0,0,0,0,0,1,0,,
Boat-F4-Saturday-LateNight-Fall-25,0,0,0,0,0,1,0,,
Boat-F4-Sunday-Fall-25,0,0,0,0,0,0,1,,
Boat-F4-Sunday-Summer-25,0,0,0,0,0,0,1,,
Boat-F4-Weekday-Fall-25,1,1,1,1,1,0,0,,
Boat-F4-Weekday-Summer-25,1,1,1,1,0,0,0,,
Boat-F6-Weekday-Summer-25,1,1,1,1,1,0,0,,
Boat-F7-Weekday-Summer-25,1,1,1,1,1,0,0,,
Boat-Lynn-Weekday-Summer-25,1,1,1,1,1,0,0,,
CR-FitchburgWachusett-Weekday,1,1,1,1,1,0,0,,
CR-FitchburgWachusett-Weekend,0,0,0,0,0,1,1,,
CR-NECEmergencyShuttle-FbMnFp-Weekday,1,1,1,1,1,0,0,,
DayafterThanksgivingDay,0,0,0,0,0,0,0,,
Fall/WinterWeekday,0,0,0,0,1,0,0,,
FallSaturday,0,0,0,0,0,1,0,,
FallSunday,0,0,0,0,0,0,1,,
FallWeekday,1,1,1,1,1,0,0,,
IndigenousPeoplesDay,0,0,0,0,0,0,0,,
LRV42025-hlb45011-Weekday-01,1,1,1,1,0,0,0,,
LRV42025-hlb45fr1-Weekday-01,0,0,0,0,1,0,0,,
LRV42025-hlb45rk1-Weekday-01,0,1,1,1,0,0,0,,
LRV42025-hlm45011-Weekday-01,1,1,1,1,0,0,0,,
LRV42025-hlm45fr1-Weekday-01,0,0,0,0,1,0,0,,
PRIV42025-hpa45011-Weekday-01,1,1,1,1,1,0,0,,
PRIV42025-hpa45016-Saturday-01,0,0,0,0,0,1,0,,
PRIV42025-hpa45ss6-Saturday-01,0,0,0,0,0,1,0,,
PRIV42025-hpj45011-Weekday-01,1,1,1,1,1,0,0,,
PRIV42025-hpj45016-Saturday-01,0,0,0,0,0,1,0,,
PRIV42025-hpj45017-Sunday-01,0,0,0,0,0,0,1,,
RTL42025-hmb45011-Weekday-01,1,1,1,1,0,0,0,,
RTL42025-hmb45016-Saturday-01,0,0,0,0,0,1,0,,
RTL42025-hmb45017-Sunday-01,0,0,0,0,0,0,1,,
RTL42025-hmb45ba1-Weekday-01,0,0,0,0,1,0,0,,
RTL42025-hmb45ba6-Saturday-01,0,0,0,0,0,1,0,,
RTL42025-hmb45ba7-Sunday-01,0,0,0,0,0,0,1,,
RTL42025-hmb45fr1-Weekday-01,0,0,0,0,1,0,0,,
RTL42025-hmo45011-Weekday-01,1,1,1,1,0,0,0,,
RTL42025-hmo45016-Saturday-01,0,0,0,0,0,1,0,,
RTL42025-hmo45017-Sunday-01,0,0,0,0,0,0,1,,
RTL42025-hmo45fr1-Weekday-01,0,0,0,0,1,0,0,,
RTL42025-hmo45nf6-Saturday-01,0,0,0,0,0,1,0,,
RTL42025-hmo45nf7-Sunday-01,0,0,0,0,0,0,1,,
RTL42025-hms45011-Weekday-01,1,1,1,1,0,0,0,,
RTL42025-hms45fr1-Weekday-01,0,0,0,0,1,0,0,,
SPRING2025-NORTHSS-Weekend-22,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-22-S6561ad1d,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-22-S7d8482ee,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-22-S9d378dcf,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-37,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-37-S6561ad1d,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-37-S7d8482ee,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-37-S9d378dcf,0,0,0,0,0,1,1,,
SPRING2025-NORTHWKD-Weekday-22,1,1,1,1,1,0,0,,
SPRING2025-NORTHWKD-Weekday-22-S6d,1,1,1,1,1,0,0,,
SPRING2025-NORTHWKD-Weekday-22-S72,1,1,1,1,1,0,0,,
SPRING2025-NORTHWKD-Weekday-22-S9f,1,1,1,1,1,0,0,,
SPRING2025-NORTHWKD-Weekday-37,1,1,1,1,1,0,0,,
SPRING2025-NORTHWKD-Weekday-37-S6d,1,1,1,1,1,0,0,,
SPRING2025-NORTHWKD-Weekday-37-S72,1,1,1,1,1,0,0,,
SPRING2025-NORTHWKD-Weekday-37-S9f,1,1,1,1,1,0,0,,
SPRING2025-SOUTHSS-Weekend-31A,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-31A-S86,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-31A-Sb4,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-31A-Sb6,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-31A-Sc0,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-31A-Sc5,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-31A-Sd5,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-65,0,0,0,0,0,0,1,,
SPRING2025-SOUTHWKD-Weekday-42,1,1,1,1,1,0,0,,
SPRING2025-SOUTHWKD-Weekday-42-S86,1,1,1,1,1,0,0,,
SPRING2025-SOUTHWKD-Weekday-42-Sb4,1,1,1,1,1,0,0,,
SPRING2025-SOUTHWKD-Weekday-42-Sb6,1,1,1,1,1,0,0,,
SPRING2025-SOUTHWKD-Weekday-42-Sc0,1,1,1,1,1,0,0,,
SPRING2025-SOUTHWKD-Weekday-42-Sc5,1,1,1,1,1,0,0,,
SPRING2025-SOUTHWKD-Weekday-42-Sd5,1,1,1,1,1,0,0,,
Spring/SummerSaturday,0,0,0,0,0,1,0,,
Spring/SummerSunday,0,0,0,0,0,0,1,,
Spring/SummerWeekday,0,0,0,1,1,0,0,,
ThanksgivingDay,0,0,0,0,0,0,0,,
VeteransDay,0,0,0,0,0,0,0,,
VeteransDay-DayafterThanksgivingDay,0,0,0,0,0,0,0,,
canonical,0,0,0,0,0,0,0,,
fare_regular,1,1,1,1,1,1,1,,
weekdays,1,1,1,1,1,0,0,,
saturday,0,0,0,0,0,1,0,,
sunday,0,0,0,0,0,0,1,,
