stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
9200-parent,9200-parent,Main St @ Emerson St,,,,42.458861,-71.063131,LocalBus,,,,1,,1,Melrose,Main Street,East Emerson Street,3
9200,9200,Main St @ Emerson St,,,,42.458861,-71.063131,LocalBus,,,,0,9200-parent,1,Melrose,Main Street,East Emerson Street,3
2516-parent,2516-parent,Windsor St @ Hampshire St,,,,42.368852,-71.094811,LocalBus,,,,1,,1,Cambridge,Windsor Street,Plymouth Street,3
2516,2516,Windsor St @ Hampshire St,,,,42.368852,-71.094811,LocalBus,,,,0,2516-parent,1,Cambridge,Windsor Street,Plymouth Street,3
5700-parent,5700-parent,Revere St @ Ford St,,,,42.418702,-70.991787,LocalBus,,,,1,,1,Revere,Revere Street,Ford Street,3
5700,5700,Revere St @ Ford St,,,,42.418702,-70.991787,LocalBus,,,,0,5700-parent,1,Revere,Revere Street,Ford Street,3
88337-parent,88337-parent,Main St @ Hammond St,,,,42.376355,-71.246665,LocalBus,,,,1,,1,Waltham,Main Street,Prospect Street,3
88337,88337,Main St @ Hammond St,,,,42.376355,-71.246665,LocalBus,,,,0,88337-parent,1,Waltham,Main Street,Prospect Street,3
3985-parent,3985-parent,1002 S Franklin St,,,,42.123766,-71.012296,LocalBus,,,,1,,1,Holbrook,South Franklin Street,Woodlawn Avenue,3
3985,3985,1002 S Franklin St,,,,42.123766,-71.012296,LocalBus,,,,0,3985-parent,1,Holbrook,South Franklin Street,Woodlawn Avenue,3
9070114-parent,9070114-parent,Chiswick Road - Commonwealth Ave @ Chiswick Rd,,,,42.340378,-71.150962,,,,,1,,1,Boston,Commonwealth Avenue,Chiswick Road,3
9070114,9070114,Chiswick Road - Commonwealth Ave @ Chiswick Rd,,,,42.340378,-71.150962,,,,,0,9070114-parent,1,Boston,Commonwealth Avenue,Chiswick Road,3
5388-parent,5388-parent,Cross St @ Henry St,,,,42.423753,-71.056259,LocalBus,,,,1,,1,Malden,Cross Street,Henry Street,3
5388,5388,Cross St @ Henry St,,,,42.423753,-71.056259,LocalBus,,,,0,5388-parent,1,Malden,Cross Street,Henry Street,3
954-parent,954-parent,Commonwealth Ave @ University Rd,,,,42.350453,-71.108831,LocalBus,,,,1,,1,Boston,Commonwealth Avenue,Carlton Street,3
954,954,Commonwealth Ave @ University Rd,,,,42.350453,-71.108831,LocalBus,,,,0,954-parent,1,Boston,Commonwealth Avenue,Carlton Street,3
6202-parent,6202-parent,Park Ave @ Appleton St,,,,42.421252,-71.182991,LocalBus,,,,1,,0,Arlington,Park Avenue,Appleton Street,3
6202,6202,Park Ave @ Appleton St,,,,42.421252,-71.182991,LocalBus,,,,0,6202-parent,0,Arlington,Park Avenue,Appleton Street,3
6304-parent,6304-parent,Playstead Rd @ Irving St - W Medford Sta,,,,42.4218,-71.133027,LocalBus,,,,1,,1,Medford,Playstead Road,Irving Street,3
6304,6304,Playstead Rd @ Irving St - W Medford Sta,,,,42.4218,-71.133027,LocalBus,,,,0,6304-parent,1,Medford,Playstead Road,Irving Street,3
2150-parent,2150-parent,Concord Ave opp Smith Pl,,,,42.390038,-71.150767,LocalBus,,,,1,,1,Cambridge,Concord Avenue,Smith Place,3
2150,2150,Concord Ave opp Smith Pl,,,,42.390038,-71.150767,LocalBus,,,,0,2150-parent,1,Cambridge,Concord Avenue,Smith Place,3
2316-parent,2316-parent,Massachusetts Ave @ Davenport St,,,,42.389308,-71.119806,LocalBus,,,,1,,1,Cambridge,Massachusetts Avenue,Davenport Street,3
2316,2316,Massachusetts Ave @ Davenport St,,,,42.389308,-71.119806,LocalBus,,,,0,2316-parent,1,Cambridge,Massachusetts Avenue,Davenport Street,3
5417-parent,5417-parent,Cross St @ Walnut St,,,,42.420746,-71.060043,LocalBus,,,,1,,1,Malden,Cross Street,Walnut Street,3
5417,5417,Cross St @ Walnut St,,,,42.420746,-71.060043,LocalBus,,,,0,5417-parent,1,Malden,Cross Street,Walnut Street,3
9070179-parent,9070179-parent,Brookline Hills - Boylston St @ Cypress St,,,,42.330034,-71.125599,,,,,1,,1,Brookline,Boylston Street,Cypress Street,3
9070179,9070179,Brookline Hills - Boylston St @ Cypress St,,,,42.330034,-71.125599,,,,,0,9070179-parent,1,Brookline,Boylston Street,Cypress Street,3
3373-parent,3373-parent,Gallivan Blvd @ Huron Circle,,,,42.281074,-71.062126,LocalBus,,,,1,,0,Boston,Gallivan Boulevard,Huron Circle,3
3373,3373,Gallivan Blvd @ Huron Circle,,,,42.281074,-71.062126,LocalBus,,,,0,3373-parent,0,Boston,Gallivan Boulevard,Huron Circle,3
8279-parent,8279-parent,Tremont St @ Boylston Station,,,,42.353247,-71.064353,LocalBus,,,,1,,1,Boston,Tremont Street,Avery Street,3
8279,8279,Tremont St @ Boylston Station,,,,42.353247,-71.064353,LocalBus,,,,0,8279-parent,1,Boston,Tremont Street,Avery Street,3
8600-parent,8600-parent,Massachusetts Ave @ Woburn St,,,,42.446103,-71.22278,LocalBus,,,,1,,1,Lexington,Massachusetts Avenue,Woburn Street,3
8600,8600,Massachusetts Ave @ Woburn St,,,,42.446103,-71.22278,LocalBus,,,,0,8600-parent,1,Lexington,Massachusetts Avenue,Woburn Street,3
place-FB-0143,place-FB-0143,Norwood Depot,,,,42.196857,-71.196688,CR-zone-3,,,,1,,1,Norwood,,,
place-FB-0143-0,place-FB-0143-0,platform 0,,,,42.196857,-71.196688,CR-zone-3,,,,0,place-FB-0143,1,Norwood,,,2
place-FB-0143-1,place-FB-0143-1,platform 1,,,,42.196857,-71.196688,CR-zone-3,,,,0,place-FB-0143,1,Norwood,,,2
32681-parent,32681-parent,Sea St @ Parkhurst St,,,,42.268425,-70.95475,LocalBus,,,,1,,0,Quincy,Sea Street,Parkhurst Street,3
32681,32681,Sea St @ Parkhurst St,,,,42.268425,-70.95475,LocalBus,,,,0,32681-parent,0,Quincy,Sea Street,Parkhurst Street,3
2340-parent,2340-parent,Blanchard Rd @ Merrill Ave,,,,42.391796,-71.157577,LocalBus,,,,1,,1,Cambridge,Blanchard Road,Merrill Avenue,3
2340,2340,Blanchard Rd @ Merrill Ave,,,,42.391796,-71.157577,LocalBus,,,,0,2340-parent,1,Cambridge,Blanchard Road,Merrill Avenue,3
3199-parent,3199-parent,Adams St opp Alleyne St,,,,42.255884,-71.008922,LocalBus,,,,1,,1,Quincy,Adams Street,Alleyne Street,3
3199,3199,Adams St opp Alleyne St,,,,42.255884,-71.008922,LocalBus,,,,0,3199-parent,1,Quincy,Adams Street,Alleyne Street,3
5968-parent,5968-parent,377 Washington St,,,,42.43999,-71.07153,LocalBus,,,,1,,1,Malden,Washington Street,,3
5968,5968,377 Washington St,,,,42.43999,-71.07153,LocalBus,,,,0,5968-parent,1,Malden,Washington Street,,3
8270-parent,8270-parent,Mystic St @ Falmouth Rd,,,,42.428849,-71.153132,LocalBus,,,,1,,1,Arlington,Mystic Street,Mystic View Terrace,3
8270,8270,Mystic St @ Falmouth Rd,,,,42.428849,-71.153132,LocalBus,,,,0,8270-parent,1,Arlington,Mystic Street,Mystic View Terrace,3
4482-parent,4482-parent,Western Ave @ Chestnut St,,,,42.477267,-70.948921,LocalBus,,,,1,,1,Lynn,Western Avenue,Chestnut Street,3
4482,4482,Western Ave @ Chestnut St,,,,42.477267,-70.948921,LocalBus,,,,0,4482-parent,1,Lynn,Western Avenue,Chestnut Street,3
2454-parent,2454-parent,Beacon St @ Calvin St,,,,42.377265,-71.105076,LocalBus,,,,1,,1,Somerville,Beacon Street,Smith Avenue,3
2454,2454,Beacon St @ Calvin St,,,,42.377265,-71.105076,LocalBus,,,,0,2454-parent,1,Somerville,Beacon Street,Smith Avenue,3
1473-parent,1473-parent,Bowdoin St @ Quincy St,,,,42.308395,-71.064656,LocalBus,,,,1,,1,Boston,Bowdoin Street,Hendry Street,3
1473,1473,Bowdoin St @ Quincy St,,,,42.308395,-71.064656,LocalBus,,,,0,1473-parent,1,Boston,Bowdoin Street,Hendry Street,3
28743-parent,28743-parent,Grand Union Blvd @ Foley St,,,,42.392206,-71.080411,LocalBus,,,,1,,1,Somerville,Grand Union Boulevard,,3
28743,28743,Grand Union Blvd @ Foley St,,,,42.392206,-71.080411,LocalBus,,,,0,28743-parent,1,Somerville,Grand Union Boulevard,,3
36479-parent,36479-parent,Hyde Park Ave @ Southbourne Rd,,,,42.289719,-71.118046,LocalBus,,,,1,,1,Boston,Hyde Park Avenue,Southbourne Road,3
36479,36479,Hyde Park Ave @ Southbourne Rd,,,,42.289719,-71.118046,LocalBus,,,,0,36479-parent,1,Boston,Hyde Park Avenue,Southbourne Road,3
1067-parent,1067-parent,Western Ave opp Genzyme,,,,42.364074,-71.119704,LocalBus,,,,1,,1,Boston,Western Avenue,,3
1067,1067,Western Ave opp Genzyme,,,,42.364074,-71.119704,LocalBus,,,,0,1067-parent,1,Boston,Western Avenue,,3
1845-parent,1845-parent,Weld St @ Manthorne Rd,,,,42.292867,-71.154376,LocalBus,,,,1,,1,Boston,Weld Street,Manthorne Road,3
1845,1845,Weld St @ Manthorne Rd,,,,42.292867,-71.154376,LocalBus,,,,0,1845-parent,1,Boston,Weld Street,Manthorne Road,3
2904-parent,2904-parent,Columbia Rd @ Wolcott St,,,,42.303472,-71.083225,LocalBus,,,,1,,1,Boston,Columbia Road,Wolcott Street,3
2904,2904,Columbia Rd @ Wolcott St,,,,42.303472,-71.083225,LocalBus,,,,0,2904-parent,1,Boston,Columbia Road,Wolcott Street,3
7891-parent,7891-parent,Great Rd @ Roberts Dr,,,,42.487656,-71.266435,LocalBus,,,,1,,1,Bedford,The Great Road,Roberts Drive,3
7891,7891,Great Rd @ Roberts Dr,,,,42.487656,-71.266435,LocalBus,,,,0,7891-parent,1,Bedford,The Great Road,Roberts Drive,3
19031-parent,19031-parent,400 Centre St - West,,,,42.355938,-71.185299,LocalBus,,,,1,,1,Newton,Centre Street,Centre Avenue,3
19031,19031,400 Centre St - West,,,,42.355938,-71.185299,LocalBus,,,,0,19031-parent,1,Newton,Centre Street,Centre Avenue,3
46434-parent,46434-parent,Cummins Hwy @ Hebron St,,,,42.272749,-71.107863,LocalBus,,,,1,,1,Boston,Cummins Highway,Hebron Street,3
46434,46434,Cummins Hwy @ Hebron St,,,,42.272749,-71.107863,LocalBus,,,,0,46434-parent,1,Boston,Cummins Highway,Hebron Street,3
