service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS20262-hba26011-Weekday-02,1,1,1,1,1,0,0,20260427,20260612
BUS20262-hba26ns1-Weekday-02,0,0,1,1,1,0,0,20260422,20260424
BUS20262-hbb26016-Saturday-02,0,0,0,0,0,1,0,20260425,20260606
BUS20262-hbb26sf1-Weekday-02,0,0,0,0,1,0,0,20260424,20260424
BUS20262-hbb26sn1-Weekday-02,0,0,1,1,0,0,0,20260422,20260423
BUS20262-hbb26wk1-Weekday-02,1,1,1,1,0,0,0,20260427,20260611
BUS20262-hbc26016-Saturday-02,0,0,0,0,0,1,0,20260425,20260606
BUS20262-hbc26sf1-Weekday-02,0,0,0,0,1,0,0,20260424,20260424
BUS20262-hbc26sn1-Weekday-02,0,0,1,1,0,0,0,20260422,20260423
BUS20262-hbc26wk1-Weekday-02,1,1,1,1,0,0,0,20260427,20260611
BUS20262-hbf26011-Weekday-02,1,1,1,1,1,0,0,20260427,20260612
BUS20262-hbf26ns1-Weekday-02,0,0,1,1,1,0,0,20260422,20260424
BUS20262-hbg26016-Saturday-02,0,0,0,0,0,1,0,20260425,20260606
BUS20262-hbg26sf1-Weekday-02,0,0,0,0,1,0,0,20260424,20260424
BUS20262-hbg26sn1-Weekday-02,0,0,1,1,0,0,0,20260422,20260423
BUS20262-hbg26wk1-Weekday-02,1,1,1,1,0,0,0,20260427,20260611
BUS20262-hbl26016-Saturday-02,0,0,0,0,0,1,0,20260425,20260606
BUS20262-hbl26sf1-Weekday-02,0,0,0,0,1,0,0,20260424,20260424
BUS20262-hbl26sn1-Weekday-02,0,0,1,1,0,0,0,20260422,20260423
BUS20262-hbl26wk1-Weekday-02,1,1,1,1,0,0,0,20260427,20260611
BUS20262-hbq26016-Saturday-02,0,0,0,0,0,1,0,20260425,20260606
BUS20262-hbq26sf1-Weekday-02,0,0,0,0,1,0,0,20260424,20260424
BUS20262-hbq26sn1-Weekday-02,0,0,1,1,0,0,0,20260422,20260423
BUS20262-hbq26wk1-Weekday-02,1,1,1,1,0,0,0,20260427,20260611
BUS20262-hbs26016-Saturday-02,0,0,0,0,0,1,0,20260425,20260606
BUS20262-hbs26fw1-Weekday-02,0,0,0,0,1,0,0,20260501,20260605
BUS20262-hbs26sf1-Weekday-02,0,0,0,0,1,0,0,20260424,20260424
BUS20262-hbs26sn1-Weekday-02,0,0,1,1,0,0,0,20260422,20260423
BUS20262-hbs26sr1-Weekday-02,0,0,0,1,0,0,0,20260611,20260611
BUS20262-hbs26sw1-Weekday-02,1,1,1,1,0,0,0,20260427,20260610
BUS20262-hbs26sy1-Weekday-02,0,0,0,0,1,0,0,20260612,20260612
BUS20262-hbt26016-Saturday-02,0,0,0,0,0,1,0,20260425,20260606
BUS20262-hbt26sf1-Weekday-02,0,0,0,0,1,0,0,20260424,20260424
BUS20262-hbt26sn1-Weekday-02,0,0,1,1,0,0,0,20260422,20260423
BUS20262-hbt26wk1-Weekday-02,1,1,1,1,0,0,0,20260427,20260611
Blue-33-Saturday-b649d,0,0,0,0,0,1,0,20260509,20260509
Blue-33-Sunday-b649d,0,0,0,0,0,0,1,20260510,20260510
Boat-EastBoston-Sa-BL-Diversion-Smr-26,0,0,0,0,0,1,0,20260509,20260509
Boat-EastBoston-Saturday-Summer-26,0,0,0,0,0,1,0,20260425,20260613
Boat-EastBoston-Sunday-Summer-26,0,0,0,0,0,0,1,20260426,20260607
Boat-F2H-Weekday-Summer-26,1,1,1,1,1,0,0,20260422,20260612
Boat-F4-Saturday-Summer-26,0,0,0,0,0,1,0,20260425,20260613
Boat-F4-Sunday-Summer-26,0,0,0,0,0,0,1,20260426,20260607
Boat-F6-Weekday-Summer-26,1,1,1,1,1,0,0,20260427,20260612
Boat-F7-Weekday-Summer-26,1,1,1,1,1,0,0,20260427,20260612
Boat-F8-Saturday-Summer-26,0,0,0,0,0,1,0,20260523,20260613
Boat-F8-Sunday-Summer-26,0,0,0,0,0,0,1,20260524,20260607
Boat-Lynn-Saturday-Summer-26,0,0,0,0,0,1,0,20260523,20260613
Boat-Lynn-Sunday-Summer-26,1,0,0,0,0,0,1,20260524,20260531
Boat-Lynn-Weekday-Summer-26,1,1,1,1,1,0,0,20260506,20260612
Boat-Lynn-Weekday-Whale-Summer-26,1,1,1,1,1,0,0,20260427,20260505
BostonCollegeKenmore-Weekday-61bc3,1,1,1,1,0,0,0,20260427,20260430
CR-BackBayFraminghamExpressFri,0,0,0,0,1,0,0,20260424,20260424
CR-BackBayFraminghamExpressSaturday,0,0,0,0,0,1,0,20260425,20260425
CR-BackBayFraminghamExpressSunday,0,0,0,0,0,0,1,20260426,20260426
CR-BackBayWellesleyHillsLocalFri,0,0,0,0,1,0,0,20260424,20260424
CR-BackBayWellesleyHillsLocalSaturday,0,0,0,0,0,1,0,20260425,20260425
CR-BackBayWellesleyHillsLocalSunday,0,0,0,0,0,0,1,20260426,20260426
CR-FoxboroWalpoleShuttle-Weekday,1,1,1,1,1,0,0,20260422,20260529
CR-FraminghamSouthStationFri,0,0,0,0,1,0,0,20260424,20260424
CR-FraminghamSouthStationSaturday,0,0,0,0,0,1,0,20260425,20260425
CR-FraminghamSouthStationSunday,0,0,0,0,0,0,1,20260426,20260426
CR-SouthStationWellesleyHillsLocalFri,0,0,0,0,1,0,0,20260424,20260424
CR-SthStnWllHlsLclSnd,0,0,0,0,0,0,1,20260426,20260426
CR-SthStnWllHlsLclStd,0,0,0,0,0,1,0,20260425,20260425
CR-TowerAShuttleNwbryprt-Spring,0,0,0,0,0,1,1,20260425,20260426
CR-TowerAShuttleWeekday-Spring,1,0,0,0,1,0,0,20260424,20260427
CR-TowerAShuttleWeekend-Spring,0,0,0,0,0,1,1,20260425,20260426
DIV20262-hlb26gc6-Saturday-01,0,0,0,0,0,1,0,20260425,20260425
DIV20262-hlb26gc7-Sunday-01,0,0,0,0,0,0,1,20260426,20260426
DIV20262-hmb26ba6-Saturday-01,0,0,0,0,0,1,0,20260509,20260509
DIV20262-hmb26ba7-Sunday-01,0,0,0,0,0,0,1,20260510,20260510
DIV20262-hmo26gl6-Saturday-01,0,0,0,0,0,1,0,20260425,20260425
DIV20262-hmo26gl7-Sunday-01,0,0,0,0,0,0,1,20260426,20260426
DIV20262-hms26bq1-Weekday-01,1,0,0,0,0,0,0,20260504,20260504
DIV20262-hms26bq6-Saturday-01,0,0,0,0,0,1,0,20260502,20260502
DIV20262-hms26bq7-Sunday-01,0,0,0,0,0,0,1,20260503,20260503
FALL 2025-N-Weekday-1-266Haverhill-S6d,1,1,1,1,1,0,0,20260504,20260612
FALL 2025-N-Weekday-1-266Haverhill-S72,1,1,1,1,1,0,0,20260504,20260612
FALL 2025-N-Weekday-1-266Haverhill-S9f,1,1,1,1,1,0,0,20260504,20260612
FALL 2025-NORTHSS-Weekend-1,0,0,0,0,0,1,1,20260502,20260613
FALL 2025-NORTHSS-Weekend-1-S6561ad1d,0,0,0,0,0,1,1,20260502,20260613
FALL 2025-NORTHSS-Weekend-1-S7d8482ee,0,0,0,0,0,1,1,20260502,20260613
FALL 2025-NORTHSS-Weekend-1-S9d378dcf,0,0,0,0,0,1,1,20260502,20260613
FALL 2025-NORTHSS-Weekend-10,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-NORTHSS-Weekend-10-S6561ad1d,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-NORTHSS-Weekend-10-S7d8482ee,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-NORTHSS-Weekend-10-S9d378dcf,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-NORTHWKD-Weekday-1-26l,1,1,1,1,1,0,0,20260504,20260612
FALL 2025-NORTHWKD-Weekday-10,1,0,0,0,1,0,0,20260424,20260427
FALL 2025-NORTHWKD-Weekday-10-S6561ad1d,1,0,0,0,1,0,0,20260424,20260427
FALL 2025-NORTHWKD-Weekday-10-S7d8482ee,1,0,0,0,1,0,0,20260424,20260427
FALL 2025-NORTHWKD-Weekday-10-S9d378dcf,1,0,0,0,1,0,0,20260424,20260427
FALL 2025-NORTHWKD-Weekday-21A,0,1,1,1,0,0,0,20260422,20260430
FALL 2025-NORTHWKD-Weekday-21A-S6d,0,1,1,1,0,0,0,20260422,20260430
FALL 2025-NORTHWKD-Weekday-21A-S72,0,1,1,1,0,0,0,20260422,20260430
FALL 2025-NORTHWKD-Weekday-21A-S9f,0,1,1,1,0,0,0,20260422,20260430
FALL 2025-SOUTHSS-Weekend-16,0,0,0,0,0,1,1,20260509,20260510
FALL 2025-SOUTHSS-Weekend-16-S85407dc6,0,0,0,0,0,1,1,20260509,20260510
FALL 2025-SOUTHSS-Weekend-16-Sb0e4ed14,0,0,0,0,0,1,1,20260509,20260510
FALL 2025-SOUTHSS-Weekend-16-Sb7371956,0,0,0,0,0,1,1,20260509,20260510
FALL 2025-SOUTHSS-Weekend-16-Sc9a3b080,0,0,0,0,0,1,1,20260509,20260510
FALL 2025-SOUTHSS-Weekend-16-Scbbf1ea5,0,0,0,0,0,1,1,20260509,20260510
FALL 2025-SOUTHSS-Weekend-16-Sd88ed885,0,0,0,0,0,1,1,20260509,20260510
FALL 2025-SOUTHSS-Weekend-1A-BsUpd,0,0,0,0,0,1,1,20260502,20260613
FALL 2025-SOUTHSS-Weekend-26,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-SOUTHSS-Weekend-26-S85407dc6,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-SOUTHSS-Weekend-26-Sb0e4ed14,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-SOUTHSS-Weekend-26-Sb7371956,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-SOUTHSS-Weekend-26-Sc9a3b080,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-SOUTHSS-Weekend-26-Scbbf1ea5,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-SOUTHSS-Weekend-26-Sd88ed885,0,0,0,0,0,1,1,20260425,20260426
FALL 2025-SOUTHWKD-Weekday-1B,1,1,1,1,1,0,0,20260422,20260612
FALL 2025-SOUTHWKD-Weekday-1B-S85407dc6,1,1,1,1,1,0,0,20260422,20260612
FALL 2025-SOUTHWKD-Weekday-1B-Sb0e4ed14,1,1,1,1,1,0,0,20260422,20260612
FALL 2025-SOUTHWKD-Weekday-1B-Sb7371956,1,1,1,1,1,0,0,20260422,20260612
