route_id,direction_id,direction,direction_destination
1,0,Outbound,Harvard Square
1,1,Inbound,Nubian Station
10,0,Outbound,City Point
10,1,Inbound,Copley Square
100,0,Outbound,Elm Street
100,1,Inbound,Wellington Station
101,0,Outbound,Malden Center Station
101,1,Inbound,Sullivan Square Station
104,0,Outbound,Malden Center Station
104,1,Inbound,Airport Station
105,0,Outbound,Malden Center Station
105,1,Inbound,Sullivan Square Station
106,0,Outbound,Lebanon Loop
106,1,Inbound,Wellington Station
108,0,Outbound,Linden Square
108,1,Inbound,Wellington Station
109,0,Outbound,Linden Square
109,1,Inbound,Harvard Square
11,0,Outbound,City Point
11,1,Inbound,Chauncy Street & Summer Street
110,0,Outbound,Wonderland Station
110,1,Inbound,Wellington Station
111,0,Outbound,Woodlawn
111,1,Inbound,Haymarket Station
112,0,Outbound,Wellington Station
112,1,Inbound,Wood Island Station
114,0,Outbound,Market Basket
114,1,Inbound,Maverick Station
116,0,Outbound,Wonderland Station
116,1,Inbound,Maverick Station
119,0,Outbound,Northgate Shopping Center
119,1,Inbound,Beachmont Station
120,0,Outbound,Orient Heights Station
120,1,Inbound,Jeffries Point
121,0,Outbound,Wood Island Station
121,1,Inbound,Maverick Station
131,0,Outbound,Melrose Highlands
131,1,Inbound,Malden Center Station
132,0,Outbound,Redstone Shopping Center
132,1,Inbound,Malden Center Station
134,0,Outbound,North Woburn
134,1,Inbound,Wellington Station
137,0,Outbound,Reading Depot
137,1,Inbound,Malden Center Station
14,0,Outbound,Roslindale Square
14,1,Inbound,Heath Street
15,0,Outbound,Fields Corner Station or St Peter's Square
15,1,Inbound,Ruggles Station
16,0,Outbound,Forest Hills Station
16,1,Inbound,Andrew Station or Harbor Point
17,0,Outbound,Fields Corner Station
17,1,Inbound,Andrew Station
171,0,Outbound,Logan Airport Terminals
171,1,Inbound,Nubian Station
18,0,Outbound,Ashmont Station
18,1,Inbound,Andrew Station
19,0,Outbound,Fields Corner Station
19,1,Inbound,Kenmore or Ruggles Station
195,0,Outbound,Lemuel Shattuck Hospital
195,1,Inbound,Park Street & Tremont Street
201,0,Outbound,Fields Corner Loop
201,1,Inbound,Fields Corner Loop
202,0,Outbound,Fields Corner Loop
202,1,Inbound,Fields Corner Loop
21,0,Outbound,Ashmont Station
21,1,Inbound,Forest Hills Station
210,0,Outbound,Quincy Center Station
210,1,Inbound,Fields Corner Station
211,0,Outbound,Quincy Center Station
211,1,Inbound,Squantum
215,0,Outbound,Quincy Center Station
215,1,Inbound,Ashmont Station
216,0,Outbound,Houghs Neck
216,1,Inbound,Quincy Center Station
217,0,Outbound,Quincy Center Station
217,1,Inbound,Ashmont Station
22,0,Outbound,Ashmont Station
22,1,Inbound,Ruggles Station
220,0,Outbound,Hingham Depot
220,1,Inbound,Quincy Center Station
222,0,Outbound,East Weymouth
222,1,Inbound,Quincy Center Station
225,0,Outbound,Weymouth Landing
225,1,Inbound,Quincy Center Station
226,0,Outbound,Columbian Square
226,1,Inbound,Braintree Station
23,0,Outbound,Ashmont Station
23,1,Inbound,Ruggles Station
230,0,Outbound,Montello Station
230,1,Inbound,Quincy Center Station
236,0,Outbound,South Shore Plaza
236,1,Inbound,Quincy Center Station
238,0,Outbound,Holbrook/Randolph Station
238,1,Inbound,Quincy Center Station
24,0,Outbound,Wakefield Avenue & Truman Parkway
24,1,Inbound,Ashmont Station
240,0,Outbound,Avon Square
240,1,Inbound,Ashmont Station
245,0,Outbound,Quincy Center Station
245,1,Inbound,Mattapan Station
26,0,Outbound,Ashmont Station
26,1,Inbound,Norfolk Street Loop
28,0,Outbound,Mattapan Station
28,1,Inbound,Ruggles Station
29,0,Outbound,Mattapan Station
29,1,Inbound,Jackson Square Station
30,0,Outbound,Mattapan Station
30,1,Inbound,Forest Hills Station
31,0,Outbound,Mattapan Station
31,1,Inbound,Forest Hills Station
32,0,Outbound,Wolcott or Cleary Square
32,1,Inbound,Forest Hills Station
33,0,Outbound,River Street & Milton Street
33,1,Inbound,Mattapan Station
34,0,Outbound,Dedham Square
34,1,Inbound,Forest Hills Station
34E,0,Outbound,Walpole Center
34E,1,Inbound,Forest Hills Station
35,0,Outbound,Dedham Mall or Stimson Street
35,1,Inbound,Forest Hills Station
350,0,Outbound,North Burlington
350,1,Inbound,Alewife Station
351,0,Outbound,Bedford Woods Drive
351,1,Inbound,Third Avenue
354,0,Outbound,North Burlington
354,1,Inbound,"State Street, Boston"
36,0,Outbound,Millennium Park or VA Hospital
36,1,Inbound,Forest Hills Station
37,0,Outbound,Baker Street & Vermont Street
37,1,Inbound,Forest Hills Station
38,0,Outbound,Wren Street
38,1,Inbound,Forest Hills Station
39,0,Outbound,Forest Hills Station
39,1,Inbound,Back Bay Station
4,0,Outbound,North Station
4,1,Inbound,Design Center
40,0,Outbound,Georgetowne
40,1,Inbound,Forest Hills Station
4050,0,Outbound,Georgetowne
4050,1,Inbound,Forest Hills Station
41,0,Outbound,Centre Street & Eliot Street
41,1,Inbound,JFK/UMass Station
411,0,Outbound,Kennedy Drive or Jack Satter House
411,1,Inbound,Malden Center Station
42,0,Outbound,Forest Hills Station
42,1,Inbound,Nubian Station
424,0,Outbound,Eastern Avenue & Essex Street
424,1,Inbound,Wonderland Station
426,0,Outbound,"Central Square, Lynn"
426,1,Inbound,Haymarket or Wonderland Station
428,0,Outbound,Oaklandvale
428,1,Inbound,Haymarket Station
429,0,Outbound,Northgate Shopping Center
429,1,Inbound,"Central Square, Lynn"
43,0,Outbound,Ruggles Station
43,1,Inbound,Park Street Station
430,0,Outbound,Saugus Center
430,1,Inbound,Malden Center Station
435,0,Outbound,Liberty Tree Mall
435,1,Inbound,"Central Square, Lynn"
436,0,Outbound,Liberty Tree Mall
436,1,Inbound,"Central Square, Lynn"
439,0,Outbound,Nahant
439,1,Inbound,Wonderland Station
44,0,Outbound,Jackson Square Station
44,1,Inbound,Ruggles Station
441,0,Outbound,Marblehead
441,1,Inbound,Wonderland Station
441442,0,Outbound,Marblehead
441442,1,Inbound,Wonderland Station
442,0,Outbound,Marblehead
442,1,Inbound,Wonderland Station
45,0,Outbound,Franklin Park
45,1,Inbound,Ruggles Station
450,0,Outbound,Salem Depot
450,1,Inbound,Wonderland or Haymarket Station
451,0,Outbound,North Beverly Station
451,1,Inbound,Salem Depot
455,0,Outbound,Salem Depot
455,1,Inbound,Wonderland Station
456,0,Outbound,Salem Depot
456,1,Inbound,"Central Square, Lynn"
47,0,Outbound,"Central Square, Cambridge"
47,1,Inbound,Broadway Station
50,0,Outbound,Cleary Square
50,1,Inbound,Forest Hills Station
501,0,Outbound,Brighton Center
501,1,Inbound,Federal Street & Franklin Street
504,0,Outbound,Watertown Yard
504,1,Inbound,Federal Street & Franklin Street
505,0,Outbound,Waltham Center
505,1,Inbound,Federal Street & Franklin Street
51,0,Outbound,Reservoir Station
51,1,Inbound,Forest Hills Station
52,0,Outbound,Dedham Mall
52,1,Inbound,Watertown Yard
55,0,Outbound,West Fenway
55,1,Inbound,Copley Square
553,0,Outbound,Roberts
553,1,Inbound,Newton Corner
554,0,Outbound,Waverley Square
554,1,Inbound,Newton Corner
556,0,Outbound,Waltham Highlands
556,1,Inbound,Newton Corner
558,0,Outbound,Riverside Station
558,1,Inbound,Newton Corner
57,0,Outbound,Watertown Yard
57,1,Inbound,Kenmore Station
59,0,Outbound,Needham Junction
59,1,Inbound,Watertown Square
