route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Alewife - Ashmont,,1,10010004,50890602
Red-3-0,Red,0,Alewife - Braintree,,1,10010005,50890817
Red-1-0_70061_70067_2,Red,0,Harvard - Ashmont,,4,10010099,50891413-AlewifeHarvard2
Red-3-0_70061_70067_2,Red,0,Harvard - Braintree,,4,10010099,50891584-AlewifeHarvard2
Red-1-1,Red,1,Ashmont - Alewife,,1,10010104,50890494
Red-3-1,Red,1,Braintree - Alewife,,1,10010105,50890710
Red-1-1_70068_70061_0,Red,1,Ashmont - Harvard,,4,10010199,50891327-AlewifeHarvard0
Red-3-1_70068_70061_0,Red,1,Braintree - Harvard,,4,10010199,50891499-AlewifeHarvard0
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,10011000,50973684
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,10011100,50973682
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,10020000,51023386
Orange-3-0_70026_70014_0,Orange,0,Oak Grove - North Station,,4,10020099,51023386-GovNorthShuttle0
Orange-3-0_70026_70014_2,Orange,0,Back Bay - Forest Hills,,4,10020099,51023386-GovNorthShuttle2
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,10020100,51023461
Orange-3-1_70015_70027_0,Orange,1,Forest Hills - Back Bay,,4,10020199,51023461-GovNorthShuttle0
Orange-3-1_70015_70027_2,Orange,1,North Station - Oak Grove,,4,10020199,51023461-GovNorthShuttle2
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,10032000,50974004
Green-B-812-0_70202_70196_2,Green-B,0,Park Street - Boston College,,4,10032099,50976528-BackBayNorthStaGLEGovtCtrParkStKenmoreRiversideParkNorth2
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,10032100,50974003
Green-B-812-1_70200_70201_0,Green-B,1,Boston College - Park Street,,4,10032199,50976527-BackBayNorthStaGLEGovtCtrParkStKenmoreRiversideParkNorth0
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,10033000,50974143
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,10033100,50974144
Green-D-851-0,Green-D,0,North Station - Riverside,,1,10034000,50974369
