from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
FR-0301-02,FR-0301-01,0,,,,,,SPRING2025V2-728445-1427,SPRING2025V2-728489-429
FR-0301-02,FR-0301-02,0,,,,,,SPRING2025V2-728476-406,SPRING2025V2-728438-1408
WML-0199-02,WML-0199-01,0,,,,,,SPRING2025V2-716065-1561,SPRING2025V2-716088-565
WML-0199-02,WML-0199-01,0,,,,,,SPRING2025V2-716070-1555,SPRING2025V2-716090-559
WML-0199-02,WML-0199-01,0,,,,,,SPRING2025V2-716071-1551,SPRING2025V2-716093-553
WML-0199-02,WML-0199-02,0,,,,,,SPRING2025V2-716066-1567,SPRING2025V2-716086-571
WML-0199-02,WML-0199-02,0,,,,,,SPRING2025V2-716111-518,SPRING2025V2-716072-1522
WML-0199-02,WML-0199-02,0,,,,,,SPRING2025V2-716113-514,SPRING2025V2-716074-1516
WML-0199-02,WML-0199-02,0,,,,,,SPRING2025V2-716114-510,SPRING2025V2-716075-1512
WML-0214-01,WML-0214-01,0,,,,,,SPRING2025V2-716073-1517,SPRING2025V2-716110-519
WML-0214-01,WML-0214-01,0,,,,,,SPRING2025V2-716076-1511,SPRING2025V2-722831-515
WML-0214-02,WML-0214-01,0,,,,,,SPRING2025V2-716089-560,SPRING2025V2-716068-1562
WML-0214-02,WML-0214-01,0,,,,,,SPRING2025V2-716091-556,SPRING2025V2-716069-1558
WML-0214-02,WML-0214-01,0,,,,,,SPRING2025V2-716109-520,SPRING2025V2-716072-1522
ER-0168-S,ER-0168-S,1,,,,,,NorthWKDYF24-706156-167,NorthWKDYF24-706178-127
ER-0168-S,ER-0168-S,1,,,,,,SPRING2025V2-728665-193,SPRING2025V2-728659-93
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKDYF24-697770-728,SouthWKDYF24-697833-834
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKDYF24-697774-732,SouthWKDYF24-697871-892
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKDYF24-710142-734,SouthWKDYF24-697839-840
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKDYF24-697790-752,SouthWKDYF24-697827-828
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKDYF24-697778-740,SouthWKDYF24-697843-862
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698047-1706,SouthWKNDF24-698067-1806
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698549-2708,SouthWKNDF24-698569-2808
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-710155-1718,SouthWKNDF24-698079-1818
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698049-1708,SouthWKNDF24-698069-1808
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698043-1702,SouthWKNDF24-698063-1802
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698553-2712,SouthWKNDF24-698573-2812
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698041-1700,SouthWKNDF24-698061-1800
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698543-2702,SouthWKNDF24-698563-2802
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698557-2716,SouthWKNDF24-698577-2816
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698057-1716,SouthWKNDF24-698077-1816
FB-0095-04,NEC-2192-02,1,,,,,,SouthWKNDF24-698547-2706,SouthWKNDF24-698567-2806
