service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS22025-hba25011-Weekday-02,1,1,1,1,1,0,0,,
BUS22025-hbb25011-Weekday-02,1,1,1,1,1,0,0,,
BUS22025-hbb25016-Saturday-02,0,0,0,0,0,1,0,,
BUS22025-hbc25011-Weekday-02,1,1,1,1,1,0,0,,
BUS22025-hbc25016-Saturday-02,0,0,0,0,0,1,0,,
BUS22025-hbf25011-Weekday-02,1,1,1,1,1,0,0,,
BUS22025-hbg25011-Weekday-02,1,1,1,1,1,0,0,,
BUS22025-hbg25016-Saturday-02,0,0,0,0,0,1,0,,
BUS22025-hbl25011-Weekday-02,1,1,1,1,1,0,0,,
BUS22025-hbl25016-Saturday-02,0,0,0,0,0,1,0,,
BUS22025-hbq25011-Weekday-02,1,1,1,1,1,0,0,,
BUS22025-hbq25016-Saturday-02,0,0,0,0,0,1,0,,
BUS22025-hbs25011-Weekday-02,1,1,1,1,1,0,0,,
BUS22025-hbs25016-Saturday-02,0,0,0,0,0,1,0,,
BUS22025-hbt25011-Weekday-02,1,1,1,1,1,0,0,,
BUS22025-hbt25sw6-Saturday-02,0,0,0,0,0,1,0,,
BUS32025-hba35ns1-Weekday-02,1,1,1,1,1,0,0,,
BUS32025-hbb35j47-Sunday-02,0,0,0,0,0,0,0,,
BUS32025-hbb35ns1-Weekday-02,1,1,1,1,1,0,0,,
BUS32025-hbc35j47-Sunday-02,0,0,0,0,0,0,0,,
BUS32025-hbc35ns1-Weekday-02,1,1,1,1,1,0,0,,
BUS32025-hbf35ns1-Weekday-02,1,1,1,1,1,0,0,,
BUS32025-hbg35j47-Sunday-02,0,0,0,0,0,0,0,,
BUS32025-hbg35ns1-Weekday-02,1,1,1,1,1,0,0,,
BUS32025-hbl35j47-Sunday-02,0,0,0,0,0,0,0,,
BUS32025-hbl35ns1-Weekday-02,1,1,1,1,1,0,0,,
BUS32025-hbq35j47-Sunday-02,0,0,0,0,0,0,0,,
BUS32025-hbq35ns1-Weekday-02,1,1,1,1,1,0,0,,
BUS32025-hbs35j47-Sunday-02,0,0,0,0,0,0,0,,
BUS32025-hbs35ns1-Weekday-02,1,1,1,1,1,0,0,,
BUS32025-hbt35j47-Sunday-02,0,0,0,0,0,0,0,,
BUS32025-hbt35ns1-Weekday-02,1,1,1,1,1,0,0,,
Boat-EastBoston-SaBLDiversion-Summer-25,0,0,0,0,0,1,0,,
Boat-EastBoston-Saturday-Summer-25,0,0,0,0,0,1,0,,
Boat-EastBoston-SuBLDiversion-Summer-25,0,0,0,0,0,0,1,,
Boat-EastBoston-Sunday-Summer-25,0,0,0,0,0,0,1,,
Boat-EastBoston-WdyBLDiversion-Smr-25,1,1,1,1,1,0,0,,
Boat-EastBoston-Weekday-Summer-25,1,1,1,1,1,0,0,,
Boat-F1-Sunday-Summer-25,0,0,0,0,0,0,1,,
Boat-F1-Weekday-Summer-25,1,1,1,1,1,0,0,,
Boat-F1-WeekdayModified-Summer-25,1,1,1,1,1,0,0,,
Boat-F4-Sunday-Summer-25,0,0,0,0,0,0,1,,
Boat-F4-Weekday-Summer-25,1,1,1,1,1,0,0,,
Boat-F6-Weekday-Summer-25,1,1,1,1,1,0,0,,
Boat-F7-Weekday-Summer-25,1,1,1,1,1,0,0,,
Boat-F8-Sunday-Summer-25,0,0,0,0,0,0,1,,
Boat-Lynn-Sunday-Summer-25,0,0,0,0,0,0,1,,
Boat-Lynn-Weekday-Summer-25,1,1,1,1,1,0,0,,
CR-WorcesterFraminghamAuburndaleSum-Frd,0,0,0,0,1,0,0,,
CR-WorcesterFraminghamAuburndaleSum-Snd,0,0,0,0,0,0,1,,
CR-WorcesterFraminghamAuburndaleSum-Std,0,0,0,0,0,1,0,,
CR-WorcesterWestNewtonKenmoreSum-Friday,0,0,0,0,1,0,0,,
CR-WorcesterWestNewtonKenmoreSum-Std,0,0,0,0,0,1,0,,
CR-WorcesterWestNewtonKenmoreSum-Sunday,0,0,0,0,0,0,1,,
LRV22025-hlb25011-Weekday-01,1,1,1,1,1,0,0,,
LRV22025-hlb25016-Saturday-01,0,0,0,0,0,1,0,,
LRV22025-hlm25011-Weekday-01,1,1,1,1,1,0,0,,
LRV22025-hlm25016-Saturday-01,0,0,0,0,0,1,0,,
LRV32025-hlb35011-Weekday-01,1,1,1,1,1,0,0,,
LRV32025-hlb35j41-Weekday-01,0,0,0,0,0,0,0,,
LRV32025-hlm35011-Weekday-01,1,1,1,1,1,0,0,,
LRV32025-hlm35j41-Weekday-01,0,0,0,0,0,0,0,,
Orange-12-Weekday-885f2,1,1,1,1,1,0,0,,
Orange-13-Saturday-22890,0,0,0,0,0,1,0,,
Orange-13-Saturday-38e0a,0,0,0,0,0,1,0,,
Orange-13-Sunday-22890,0,0,0,0,0,0,1,,
Orange-13-Sunday-38e0a,0,0,0,0,0,0,1,,
PRIV22025-hpa25011-Weekday-01,1,1,1,1,1,0,0,,
PRIV22025-hpa25016-Saturday-01,0,0,0,0,0,1,0,,
PRIV22025-hpj25011-Weekday-01,1,1,1,1,1,0,0,,
PRIV22025-hpj25016-Saturday-01,0,0,0,0,0,1,0,,
PRIV22025-hpp25011-Weekday-01,1,1,1,1,1,0,0,,
PRIV22025-hpp25016-Saturday-01,0,0,0,0,0,1,0,,
PRIV32025-hpa35011-Weekday-01,1,1,1,1,1,0,0,,
PRIV32025-hpj35011-Weekday-01,1,1,1,1,1,0,0,,
PRIV32025-hpp35j47-Sunday-01,0,0,0,0,0,0,0,,
PRIV32025-hpp35ns1-Weekday-01,1,1,1,1,1,0,0,,
RTL22025-hmb25bo1-Weekday-01,1,1,1,1,1,0,0,,
RTL22025-hmb25bo6-Saturday-01,0,0,0,0,0,1,0,,
RTL22025-hmb25bo7-Sunday-01,0,0,0,0,0,0,1,,
RTL22025-hmo25011-Weekday-01,1,1,1,1,1,0,0,,
RTL22025-hmo25016-Saturday-01,0,0,0,0,0,1,0,,
RTL22025-hms25011-Weekday-01,1,1,1,1,1,0,0,,
RTL22025-hms25bj6-Saturday-01,0,0,0,0,0,1,0,,
RTL22025-hms25rl7-Sunday-01,0,0,0,0,0,0,1,,
RTL32025-amb35j41-Weekday-01,0,0,0,0,0,0,0,,
RTL32025-hmb35011-Weekday-01,1,1,1,1,1,0,0,,
RTL32025-hmb35017-Sunday-01,0,0,0,0,0,0,1,,
RTL32025-hmo35011-Weekday-01,1,1,1,1,1,0,0,,
RTL32025-hmo35016-Saturday-01,0,0,0,0,0,1,0,,
RTL32025-hmo35017-Sunday-01,0,0,0,0,0,0,1,,
RTL32025-hmo35bf1-Weekday-01,1,1,1,1,1,0,0,,
RTL32025-hmo35fn6-Saturday-01,0,0,0,0,0,1,0,,
RTL32025-hmo35fn7-Sunday-01,0,0,0,0,0,0,1,,
RTL32025-hmo35j41-Weekday-01,0,0,0,0,0,0,0,,
RTL32025-hms35011-Weekday-01,1,1,1,1,1,0,0,,
RTL32025-hms35017-Sunday-01,0,0,0,0,0,0,1,,
RTL32025-hms35j41-Weekday-01,0,0,0,0,0,0,0,,
SPR25-NORTHSS-Wnd-18-S6561ad1d-HvlBrdVn,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-18,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-18-S7d8482ee,0,0,0,0,0,1,1,,
SPRING2025-NORTHSS-Weekend-18-S9d378dcf,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-16-S4011ecb9,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-17,0,0,0,0,0,1,1,,
SPRING2025-SOUTHSS-Weekend-17-S85407dc6,0,0,0,0,0,1,1,,
