route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,route
Red,1,,Red Line,,,,,,,,,
Mattapan,1,,Mattapan Trolley,,,,,,,,,
Orange,1,,Orange Line,,,,,,,,,
Green-B,1,,Green Line B,,,,,,,,,
Green-C,1,,Green Line C,,,,,,,,,
Green-D,1,,Green Line D,,,,,,,,,
Green-E,1,,Green Line E,,,,,,,,,
Blue,1,,Blue Line,,,,,,,,,
741,1,,Logan Airport Terminals - South Station,,,,,,,,,
742,1,,Drydock Avenue - South Station,,,,,,,,,
743,1,,Chelsea Station - South Station,,,,,,,,,
751,1,,Nubian Station - South Station,,,,,,,,,
749,1,,Nubian Station - Temple Place,,,,,,,,,
746,1,,Silver Line Way - South Station,,,,,,,,,
CR-Foxboro,1,,Foxboro Event Service,,,,,,,,,
Boat-F4,1,,Charlestown Ferry,,,,,,,,,
Boat-F1,1,,Hingham/Hull Ferry,,,,,,,,,
747,1,,Sullivan Square Station - Ruggles Station,,,,,,,,,
708,1,,Beth Israel Deaconess Hospital - Andrew Station,,,,,,,,,
1,1,,Harvard Square - Nubian Station,,,,,,,,,
4,1,,North Station - Tide Street,,,,,,,,,
7,1,,City Point - Otis Street & Summer Street,,,,,,,,,
8,1,,Harbor Point - Kenmore Station,,,,,,,,,
9,1,,City Point - Copley Station,,,,,,,,,
10,1,,City Point - Copley Square,,,,,,,,,
11,1,,City Point - Chauncy Street & Summer Street,,,,,,,,,
14,1,,Roslindale Square - Heath Street,,,,,,,,,
15,1,,Fields Corner Station or Kane Square - Ruggles Station,,,,,,,,,
16,1,,Forest Hills Station - Andrew Station or Harbor Point,,,,,,,,,
17,1,,Fields Corner Station - Andrew Station,,,,,,,,,
18,1,,Ashmont Station - Andrew Station,,,,,,,,,
19,1,,Fields Corner Station - Kenmore or Ruggles Station,,,,,,,,,
21,1,,Ashmont Station - Forest Hills Station,,,,,,,,,
22,1,,Ashmont Station - Ruggles Station via Talbot Ave,,,,,,,,,
23,1,,Ashmont Station - Ruggles Station via Washington Street,,,,,,,,,
24,1,,Wakefield Avenue & Truman Parkway - Ashmont Station,,,,,,,,,
26,1,,Ashmont Station - Norfolk Street Loop,,,,,,,,,
28,1,,Mattapan Station - Ruggles Station,,,,,,,,,
29,1,,Mattapan Station - Jackson Square Station,,,,,,,,,
30,1,,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square,,,,,,,,,
31,1,,Mattapan Station - Forest Hills Station via Morton Street,,,,,,,,,
32,1,,Wolcott or Cleary Square - Forest Hills Station,,,,,,,,,
3233,1,,River Street & Milton Street - Mattapan Station,,,,,,,,,
33,1,,River Street & Milton Street - Mattapan Station,,,,,,,,,
34,1,,Dedham Square - Forest Hills Station,,,,,,,,,
34E,1,,Walpole Center - Forest Hills Station,,,,,,,,,
35,1,,Dedham Mall or Stimson Street - Forest Hills Station,,,,,,,,,
36,1,,Millennium Park or VA Hospital - Forest Hills Station,,,,,,,,,
37,1,,Baker Street & Vermont Street - Forest Hills Station,,,,,,,,,
38,1,,Wren Street - Forest Hills Station,,,,,,,,,
39,1,,Forest Hills Station - Back Bay Station,,,,,,,,,
40,1,,Georgetowne - Forest Hills Station,,,,,,,,,
4050,1,,Georgetowne - Forest Hills Station,,,,,,,,,
41,1,,Centre Street & Eliot Street - JFK/UMass Station,,,,,,,,,
42,1,,Forest Hills Station - Nubian Station,,,,,,,,,
43,1,,Ruggles  Station - Park Street Station,,,,,,,,,
44,1,,Jackson Square Station - Ruggles Station,,,,,,,,,
45,1,,Franklin Park - Ruggles Station,,,,,,,,,
47,1,,"Central Square, Cambridge - Broadway Station",,,,,,,,,
50,1,,Cleary Square - Forest Hills Station,,,,,,,,,
51,1,,Reservoir Station - Forest Hills Station,,,,,,,,,
52,1,,Dedham Mall - Watertown Yard,,,,,,,,,
55,1,,Jersey Street & Queensberry Street - Copley Station,,,,,,,,,
57,1,,Watertown Yard - Kenmore Station,,,,,,,,,
59,1,,Needham Junction - Watertown Square,,,,,,,,,
60,1,,Chestnut Hill - Kenmore Station,,,,,,,,,
61,1,,North Waltham - Waltham Center,,,,,,,,,
62,1,,Bedford VA Hospital - Alewife Station,,,,,,,,,
627,1,,Bedford VA Hospital - Alewife Station via Hanscom Airport,,,,,,,,,
64,1,,Oak Square - University Park or Kendall/MIT Station,,,,,,,,,
65,1,,Brighton Center - Kenmore Station,,,,,,,,,
66,1,,Harvard Square - Nubian Station,,,,,,,,,
67,1,,Turkey Hill - Alewife Station,,,,,,,,,
68,1,,Harvard Square - Kendall/MIT Station,,,,,,,,,
69,1,,Harvard Square - Lechmere Station,,,,,,,,,
70,1,,Market Place Drive or Waltham Center - University Park,,,,,,,,,
71,1,,Watertown Square - Harvard Station,,,,,,,,,
72,1,,Aberdeen Avenue - Harvard Station,,,,,,,,,
73,1,,Waverley Square - Harvard Station,,,,,,,,,
74,1,,Belmont Center - Harvard via Concord Avenue,,,,,,,,,
75,1,,Belmont Center - Harvard via Huron Avenue,,,,,,,,,
76,1,,Lincoln Lab - Alewife Station,,,,,,,,,
77,1,,Arlington Heights - Harvard Station,,,,,,,,,
78,1,,Arlmont Village - Harvard Station,,,,,,,,,
79,1,,Arlington Heights - Alewife Station,,,,,,,,,
80,1,,Arlington Center - Lechmere Station,,,,,,,,,
83,1,,"Rindge Avenue - Central Square, Cambridge",,,,,,,,,
84,1,,Arlmont Village - Alewife Station,,,,,,,,,
85,1,,Spring Hill - Kendall/MIT Station,,,,,,,,,
86,1,,Sullivan Square Station - Reservoir Station,,,,,,,,,
87,1,,Clarendon Hill or Arlington Center - Lechmere Station,,,,,,,,,
88,1,,Clarendon Hill - Lechmere Station,,,,,,,,,
89,1,,Clarendon Hill or Davis Station - Sullivan Square Station,,,,,,,,,
