stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
place-ER-0128,place-ER-0128,Swampscott,,,,42.473743,-70.922537,CR-zone-3,,,,1,,1,Swampscott,,,
place-ER-0128-0,place-ER-0128-0,platform 0,,,,42.473743,-70.922537,CR-zone-3,,,,0,place-ER-0128,1,Swampscott,,,2
place-ER-0128-1,place-ER-0128-1,platform 1,,,,42.473743,-70.922537,CR-zone-3,,,,0,place-ER-0128,1,Swampscott,,,2
place-alsgr,place-alsgr,Allston Street,,,,42.348701,-71.137955,,,,,1,,2,Boston,,,
70126,70126,Allston Street,,,,42.348649,-71.137881,RapidTransit,,,level_median,0,place-alsgr,2,Boston,,,0
70127,70127,Allston Street,,,,42.348546,-71.137362,RapidTransit,,,level_median,0,place-alsgr,2,Boston,,,0
place-bvmnl,place-bvmnl,Brookline Village,,,,42.332608,-71.116857,,,,,1,,1,Brookline,,,
70180,70180,Brookline Village,,,,42.332614,-71.116751,RapidTransit,,,level_ground,0,place-bvmnl,1,Brookline,,,0
70181,70181,Brookline Village,,,,42.33257,-71.117041,RapidTransit,,,level_ground,0,place-bvmnl,1,Brookline,,,0
place-NB-0127,place-NB-0127,Needham Center,,,,42.280775,-71.237686,CR-zone-2,,,,1,,1,Needham,,,
place-NB-0127-0,place-NB-0127-0,platform 0,,,,42.280775,-71.237686,CR-zone-2,,,,0,place-NB-0127,1,Needham,,,2
place-NB-0127-1,place-NB-0127-1,platform 1,,,,42.280775,-71.237686,CR-zone-2,,,,0,place-NB-0127,1,Needham,,,2
place-NEC-2108,place-NEC-2108,Sharon,,,,42.124553,-71.184468,CR-zone-4,,,,1,,1,Sharon,,,
place-NEC-2108-0,place-NEC-2108-0,platform 0,,,,42.124553,-71.184468,CR-zone-4,,,,0,place-NEC-2108,1,Sharon,,,2
place-NEC-2108-1,place-NEC-2108-1,platform 1,,,,42.124553,-71.184468,CR-zone-4,,,,0,place-NEC-2108,1,Sharon,,,2
place-GRB-0162,place-GRB-0162,West Hingham,,,,42.235838,-70.902708,CR-zone-3,,,,1,,1,Hingham,,,
place-GRB-0162-0,place-GRB-0162-0,platform 0,,,,42.235838,-70.902708,CR-zone-3,,,,0,place-GRB-0162,1,Hingham,,,2
place-GRB-0162-1,place-GRB-0162-1,platform 1,,,,42.235838,-70.902708,CR-zone-3,,,,0,place-GRB-0162,1,Hingham,,,2
place-WR-0163,place-WR-0163,North Wilmington,,,,42.569661,-71.159696,CR-zone-3,,,,1,,2,Wilmington,,,
WR-0163-S,WR-0163-S,North Wilmington,,,,42.569661,-71.159696,CR-zone-3,,,,0,place-WR-0163,2,Wilmington,,,2
place-FR-0394,place-FR-0394,Shirley,,,,42.545089,-71.648004,CR-zone-8,,,,1,,2,Shirley,,,
place-FR-0394-0,place-FR-0394-0,platform 0,,,,42.545089,-71.648004,CR-zone-8,,,,0,place-FR-0394,2,Shirley,,,2
place-FR-0394-1,place-FR-0394-1,platform 1,,,,42.545089,-71.648004,CR-zone-8,,,,0,place-FR-0394,2,Shirley,,,2
place-PB-0281,place-PB-0281,Halifax,,,,42.014739,-70.824263,CR-zone-7,,,,1,,1,Halifax,,,
place-PB-0281-0,place-PB-0281-0,platform 0,,,,42.014739,-70.824263,CR-zone-7,,,,0,place-PB-0281,1,Halifax,,,2
place-PB-0281-1,place-PB-0281-1,platform 1,,,,42.014739,-70.824263,CR-zone-7,,,,0,place-PB-0281,1,Halifax,,,2
place-belsq,place-belsq,Bellingham Square,,,,42.395438,-71.033884,,,,,1,,1,Chelsea,,,
74632,74632,Bellingham Square,,,,42.395328,-71.033291,SLWaterfrontNonLogan,,,level_ground,0,place-belsq,1,Chelsea,Chelsea Busway,,3
74633,74633,Bellingham Square,,,,42.395638,-71.034599,SLWaterfrontNonLogan,,,level_ground,0,place-belsq,1,Chelsea,Chelsea Busway,,3
place-rr-braintree-highlands,place-rr-braintree-highlands,Braintree Highlands,,,,0,0,,,,,1,,1,Braintree,,,
place-rr-braintree-highlands-0,place-rr-braintree-highlands-0,platform 0,,,,0,0,,,,,0,place-rr-braintree-highlands,1,Braintree,,,2
place-rr-braintree-highlands-1,place-rr-braintree-highlands-1,platform 1,,,,0,0,,,,,0,place-rr-braintree-highlands,1,Braintree,,,2
place-FB-0109,place-FB-0109,Endicott,,,,42.233249,-71.158647,CR-zone-2,,,,1,,2,Dedham,,,
place-FB-0109-0,place-FB-0109-0,platform 0,,,,42.233249,-71.158647,CR-zone-2,,,,0,place-FB-0109,2,Dedham,,,2
place-FB-0109-1,place-FB-0109-1,platform 1,,,,42.233249,-71.158647,CR-zone-2,,,,0,place-FB-0109,2,Dedham,,,2
place-WML-0199,place-WML-0199,West Natick,,,,42.283064,-71.391797,CR-zone-4,,,,1,,1,Natick,,,
place-WML-0199-0,place-WML-0199-0,platform 0,,,,42.283064,-71.391797,CR-zone-4,,,,0,place-WML-0199,1,Natick,,,2
place-WML-0199-1,place-WML-0199-1,platform 1,,,,42.283064,-71.391797,CR-zone-4,,,,0,place-WML-0199,1,Natick,,,2
place-rr-river-street,place-rr-river-street,River Street,,,,42.2637601,-71.1045547,,,,,1,,1,Boston,,,
place-rr-river-street-0,place-rr-river-street-0,platform 0,,,,42.2637601,-71.1045547,,,,,0,place-rr-river-street,1,Boston,,,2
place-rr-river-street-1,place-rr-river-street-1,platform 1,,,,42.2637601,-71.1045547,,,,,0,place-rr-river-street,1,Boston,,,2
place-masta,place-masta,Massachusetts Avenue,,,,42.341512,-71.083423,,,,,1,,1,Boston,,,
70012,70012,Massachusetts Avenue,,,,42.340927,-71.084188,RapidTransit,,,level_-1_platform,0,place-masta,1,Boston,,,1
70013,70013,Massachusetts Avenue,,,,42.340892,-71.084124,RapidTransit,,,level_-1_platform,0,place-masta,1,Boston,,,1
place-rr-rourke-bridge,place-rr-rourke-bridge,Rourke Bridge,,,,0,0,,,,,1,,1,Lowell,,,
