from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer
place-ER-0128-0,place-ER-0128-1,0,180,120,180,60,1
place-ER-0128-1,place-ER-0128-0,0,180,120,180,60,1
70180,70181,0,169,49,63,120,1
70181,70180,0,169,49,63,120,1
place-NB-0127-0,place-NB-0127-1,0,180,120,180,60,1
place-NB-0127-1,place-NB-0127-0,0,180,120,180,60,1
place-NEC-2108-0,place-NEC-2108-1,0,180,120,180,60,1
place-NEC-2108-1,place-NEC-2108-0,0,180,120,180,60,1
place-GRB-0162-0,place-GRB-0162-1,0,180,120,180,60,1
place-GRB-0162-1,place-GRB-0162-0,0,180,120,180,60,1
place-FR-0394-0,place-FR-0394-1,0,180,120,180,60,1
place-FR-0394-1,place-FR-0394-0,0,180,120,180,60,1
place-PB-0281-0,place-PB-0281-1,0,180,120,180,60,1
place-PB-0281-1,place-PB-0281-0,0,180,120,180,60,1
74632,74633,0,202,82,106,120,1
74633,74632,0,200,80,104,120,1
place-rr-braintree-highlands-0,place-rr-braintree-highlands-1,0,180,120,180,60,1
place-rr-braintree-highlands-1,place-rr-braintree-highlands-0,0,180,120,180,60,1
place-FB-0109-0,place-FB-0109-1,0,180,120,180,60,1
place-FB-0109-1,place-FB-0109-0,0,180,120,180,60,1
place-WML-0199-0,place-WML-0199-1,0,180,120,180,60,1
place-WML-0199-1,place-WML-0199-0,0,180,120,180,60,1
place-rr-river-street-0,place-rr-river-street-1,0,180,120,180,60,1
place-rr-river-street-1,place-rr-river-street-0,0,180,120,180,60,1
70012,70013,0,125,65,84,60,1
70013,70012,0,125,65,84,60,1
place-rr-rourke-bridge-0,place-rr-rourke-bridge-1,0,180,120,180,60,1
place-rr-rourke-bridge-1,place-rr-rourke-bridge-0,0,180,120,180,60,1
place-rr-everett-jct-0,place-rr-everett-jct-1,0,180,120,180,60,1
place-rr-everett-jct-1,place-rr-everett-jct-0,0,180,120,180,60,1
place-WR-0329-0,place-WR-0329-1,0,180,120,180,60,1
place-WR-0329-1,place-WR-0329-0,0,180,120,180,60,1
74612,74616,0,195,75,209,120,1
74616,74612,0,195,75,209,120,1
place-rr-weymouth-col-sq-0,place-rr-weymouth-col-sq-1,0,180,120,180,60,1
place-rr-weymouth-col-sq-1,place-rr-weymouth-col-sq-0,0,180,120,180,60,1
place-NEC-2040-0,place-NEC-2040-1,0,180,120,180,60,1
place-NEC-2040-1,place-NEC-2040-0,0,180,120,180,60,1
place-MM-0186-0,place-MM-0186-1,0,180,120,180,60,1
place-MM-0186-1,place-MM-0186-0,0,180,120,180,60,1
place-rr-bridgewater-center-0,place-rr-bridgewater-center-1,0,180,120,180,60,1
place-rr-bridgewater-center-1,place-rr-bridgewater-center-0,0,180,120,180,60,1
70178,70179,0,192,72,94,120,1
70179,70178,0,192,72,94,120,1
place-FR-0301-0,place-FR-0301-1,0,180,120,180,60,1
place-FR-0301-1,place-FR-0301-0,0,180,120,180,60,1
place-FR-0253-0,place-FR-0253-1,0,180,120,180,60,1
place-FR-0253-1,place-FR-0253-0,0,180,120,180,60,1
place-WML-0125-0,place-WML-0125-1,0,180,120,180,60,1
place-WML-0125-1,place-WML-0125-0,0,180,120,180,60,1
70032,52710,0,314,194,298,120,1
70032,52711,0,295,175,273,120,1
70032,52712,0,281,161,254,120,1
70032,52713,0,268,148,238,120,1
70032,52714,0,306,186,287,120,1
70032,52715,0,292,172,269,120,1
70032,52716,0,280,160,253,120,1
70032,52720,0,259,139,226,120,1
70032,70033,0,65,5,6,60,1
70033,52710,0,314,194,298,120,1
70033,52711,0,295,175,273,120,1
70033,52712,0,281,161,254,120,1
70033,52713,0,268,148,238,120,1
70033,52714,0,306,186,287,120,1
70033,52715,0,292,172,269,120,1
70033,52716,0,280,160,253,120,1
70033,52720,0,259,139,226,120,1
70033,70032,0,65,5,6,60,1
place-GB-0198-0,place-GB-0198-1,0,180,120,180,60,1
place-GB-0198-1,place-GB-0198-0,0,180,120,180,60,1
place-NB-0064-0,place-NB-0064-1,0,180,120,180,60,1
place-NB-0064-1,place-NB-0064-0,0,180,120,180,60,1
place-FB-0166-0,place-FB-0166-1,0,180,120,180,60,1
place-FB-0166-1,place-FB-0166-0,0,180,120,180,60,1
70057,70058,0,83,23,110,60,1
70058,70057,0,81,21,107,60,1
place-ER-0183-0,place-ER-0183-1,0,180,120,180,60,1
place-ER-0183-1,place-ER-0183-0,0,180,120,180,60,1
place-rr-newton-corner-0,place-rr-newton-corner-1,0,180,120,180,60,1
place-rr-newton-corner-1,place-rr-newton-corner-0,0,180,120,180,60,1
70089,323,0,174,54,136,120,1
70089,70090,0,97,37,180,60,1
70090,323,0,172,52,134,120,1
70090,70089,0,97,37,180,60,1
place-GB-0353-0,place-GB-0353-1,0,180,120,180,60,1
place-GB-0353-1,place-GB-0353-0,0,180,120,180,60,1
place-FR-0064-0,place-FR-0064-1,0,180,120,180,60,1
place-FR-0064-1,place-FR-0064-0,0,180,120,180,60,1
place-NEC-1969-0,place-NEC-1969-1,0,180,120,180,60,1
place-NEC-1969-1,place-NEC-1969-0,0,180,120,180,60,1
70024,70025,0,100,40,172,60,1
70024,70203,0,169,79,212,90,1
70024,70204,0,169,79,212,90,1
70025,70024,0,90,30,158,60,1
70025,70203,0,170,80,214,90,1
70025,70204,0,170,80,214,90,1
70203,70024,0,134,44,167,90,1
70203,70025,0,150,60,188,90,1
70203,70204,0,169,49,64,120,1
70204,70024,0,134,44,167,90,1
70204,70025,0,150,60,188,90,1
70204,70203,0,169,49,64,120,1
place-WML-0252-0,place-WML-0252-1,0,180,120,180,60,1
place-WML-0252-1,place-WML-0252-0,0,180,120,180,60,1
place-rockland-n-abington-0,place-rockland-n-abington-1,0,180,120,180,60,1
place-rockland-n-abington-1,place-rockland-n-abington-0,0,180,120,180,60,1
70097,3125,0,201,81,144,120,1
70097,70098,0,65,5,7,60,1
70098,3125,0,201,81,144,120,1
70098,70097,0,65,5,7,60,1
70099,70100,0,67,7,9,60,1
70100,70099,0,68,8,10,60,1
place-GB-0222-0,place-GB-0222-1,0,180,120,180,60,1
place-GB-0222-1,place-GB-0222-0,0,180,120,180,60,1
place-GRB-0276-0,place-GRB-0276-1,0,180,120,180,60,1
place-GRB-0276-1,place-GRB-0276-0,0,180,120,180,60,1
place-GB-0254-0,place-GB-0254-1,0,180,120,180,60,1
place-GB-0254-1,place-GB-0254-0,0,180,120,180,60,1
place-FR-0361-0,place-FR-0361-1,0,180,120,180,60,1
