 ,,,,,,,
,,,1 hour is 0.041667 time units,,,mainline (e.g. commuter rail),
,conversions:,,,,,"HRT grade-sep (e.g. Red, Orange, Blue)",
,feet,miles,,,,"LRT grade-sep (e.g. GLX, Green Subway, and D)",
,1730,0.3276515152,,,,"median-running (e.g. B, C, inner E)",
,,,,,,mixed-running (e.g. outer E),
,TOTAL,6.35,,0:20:03,,,
,Station,Distance (miles),Speed (mph),Travel Time (h:mm:ss),cumulative time,Scheduled Departure Time (rounded cumulatively),character?
,Lynn,,-,-,,,
,West Lynn,0.83,19,0:02:37,0:02:37,0:03,
,River Works,0.76,19,0:02:24,0:05:01,0:05,
,Wonderland,2.97,35,0:05:05,0:10:07,0:10,
,Revere Beach,0.4,19,0:01:16,0:11:23,0:11,
,Beachmont,0.73,19,0:02:18,0:13:41,0:14,
,Suffolk Downs,0.57,19,0:01:48,0:15:29,0:15,
,Orient Heights,0.44,19,0:01:23,0:16:52,0:17,
,Wood Island,1.08,19,0:03:25,0:20:17,0:20,
,Airport,0.63,19,0:01:59,0:22:16,0:22,
,Maverick,0.57,19,0:01:48,0:24:04,0:24,
,Aquarium,0.9,19,0:02:51,0:26:55,0:27,
,State,0.28,19,0:00:53,0:27:48,0:28,
,Government Center,0.17,19,0:00:32,0:28:20,0:28,
,Bowdoin,0.17,19,0:00:32,0:28:52,0:29,
,Charles/MGH,0.41,19,0:01:18,0:30:10,0:30,
